Page Number,Page Content
10,"St. Michaels University SchoolFamily Handbook 2024-25  |  6Respecting Our Neighbours
Teaching students to respect the rights of others is a SMUS 
objective  . We ask students to be mindful of the privacy and 
rights of neighbours who live close to the school grounds  . We 
also expect parents to model this behaviour for their children . In 
this way, we can maintain amicable relationships with our local 
community  .
Like most schools, SMUS generates large volumes of non-
resident traffic that can adversely impact local residents in many 
ways, especially at peak times such as pick-up and drop-off  .
When you are dropping off or picking up your child, you must 
obey local bylaws and provincial traffic laws  . Violations of the 
following traffic laws and bylaws can be ticketed:
• Do not park closer than one metre from the edge of  
a residential driveway  .
• Do not park in neighbours’ driveways, even for very  
short periods  .
• Do not make U-turns, three-point turns, or use driveways 
to turn around during pick-up and drop-off when it 
interferes with the flow and access of other traffic  .
• Do not idle your car engine while you are stopped at a curb  .
• Do not exceed the posted speed limit and, when traffic is 
heavy or conditions are wet or icy, please drive slower than 
the posted speed limit .
• Do not stop or park where curbs are painted yellow  .
Do your part to minimize the impact of vehicles on our 
neighbourhood:
• Use alternative modes of transportation such as walking, 
cycling, and school or city buses  .
• If you are walking, use sidewalks wherever they are available  .
• If you are driving, park further away from the school and 
enjoy the walk  .
• Plan your route so that you can avoid making unsafe 
reverses and U-turns  .
Respect our neighbours’ privacy and property:
• Do not allow your children to run on lawns or play on 
swings in front yards  .
• Students using public transit near the school shall not 
loiter on lawns, be excessively noisy or litter near the bus 
stations  .Bicycles and Skateboards
On arrival at school, students, staff and visitors must lock their 
bicycles in the racks provided  . The law requires helmets for all 
SMUS students riding bicycles  . Boarding students must keep 
their bicycles locked in the appropriate storage area . SMUS takes 
no responsibility for loss or damage  .
Students using skateboards, scooters or other transportation 
‘vehicles’ are also required to wear safety equipment .
School Bus
If you plan to ride the school bus this year, you are 
required to fill out the school bus registration.  
https://forms  .gle/azm9JvEZjqMY5Us67  
The school offers morning and afternoon school bus pick-
up and drop-off daily, starting Thursday, September 5 . The 
routes are provided for your convenience at a very reasonable 
cost and cover a wide range of areas, from Langford to North 
Saanich and points in between . Students can ride the bus 
using their student cards, which are scanned each time they 
board the bus  . The cost for each ride is then automatically 
charged to their student account .
You may access our up-to-date bus information, including 
schedule, route and pricing information, at smus  .ca/campus-
services/bus-transportation . We try to accommodate all of our 
ridership, so changes in the route structure may be made during 
the summer, according to demand  . If you have routes you 
would like us to consider or if you have questions or comments, 
please contact our transportation department at 250-370-6150, 
or email jody  .bright@smus  .ca .
Please note that all bus route times are subject to change due 
to road and weather conditions  .Transportation"
11,"St. Michaels University SchoolFamily Handbook 2024-25  |  7Academic Information
Our Learning Approach
St . Michaels University School offers an academic program that 
is demanding, stimulating and engaging  . It challenges students 
intellectually and encourages them to reach their full academic 
potential as it provides them with rich learning experiences in a 
wide variety of subject areas  .
The SMUS JK-12 program is an intentionally designed journey 
where meeting the personal needs of each individual learner 
is paramount . The objective at each level of education in 
the school is to strengthen foundational skills in literacy and 
numeracy, and foster creativity, critical thinking skills, and 
personal and social responsibility through inquiry and project-
based learning  .
Our academic program strives to combine relevant knowledge, 
steadfast rigour and a love of learning  .
The Portrait of a Learner
Throughout the learning experience at SMUS, we embed 
the seven characteristics of our Portrait of a Learner: curiosity, 
resilience, integrity, initiative, collaboration, empathy and well-
being . These characteristics are reflected upon throughout 
the learning process, in chapel, in community time and are 
connected with in a variety of demonstrations of learning  . Our 
goal is to foster these characteristics in our learners so that they 
are well set up for success in life beyond SMUS .
Highlights of the BC Curriculum within the  
SMUS Academic Context
• An Individualized Learning Environment: Our 
program inspires an individualized, student-centered 
approach that addresses the diverse needs and interests of 
our students
• Core Competencies: Learning experiences are designed 
with a focus on literacy and numeracy foundations 
support the development of students as critical thinkers 
and effective communicators who are personally and 
socially competent in all areas of their lives  .
• Interdisciplinary Learning Opportunities: The 
curriculum offers flexibility for cross-discipline learning 
experiences that are project-based and focused on skill 
development .
• Flexible Learning Environments: Our teachers embrace 
flexibility in creating learning environments that are 
relevant, engaging and responsive  .
• Indigenous Knowledge and Perspectives: Indigenous 
culture and perspectives are intentionally integrated 
throughout all areas of learning  . For example, place-based 
learning, an emphasis on Indigenous ways of knowing 
reflecting the First Peoples Principles of Learning, and 
Indigenous resources and community connections are 
thoughtfully embedded into the curriculum .Assessment Philosophy at SMUS
The Ministry of Education organizes courses around common 
learning standards  . At SMUS, our curriculum, pedagogy, 
assessment and reporting are all centred around these learning 
standards  . The standards make it clear what every student is 
expected to know, understand and be able to do  .
• Assessment practices are age and stage appropriate and 
allow students to demonstrate their learning in a variety 
of different ways  . From Kindergarten to Grade 8, feedback 
about learning is provided using proficiency indicators 
in relation to learning standards  . Percentage grades, in 
addition to proficiency indicators, begin in Grade 9 in the 
Senior School  . Some assignments and assessments may 
be formative and will not include any specific achievement 
score but they provide great value in helping students and 
teachers guide further learning  .
• Learners strive for improved performance over time across 
all grades  . In the Senior School, term results reflect the 
most recent evaluation in the learning process  .
• Feedback on learning is timely and ongoing, in addition to 
parent-student-teacher conferences  .
• For more detailed assessment information, please contact 
the appropriate Assistant Director at each division .
Communication of Student Learning
Our goal is to provide parents with timely and consistent 
feedback on learning that is easily understood  .
Parents can expect to receive written descriptive feedback in a 
formal report throughout the year, which includes proficiency 
and percentage grades (9-12) . Parents will also be able to read 
through student self-assessment of the Portrait of a Learner 
characteristics and goal setting on the formal reports and 
in various learning tasks  . Further, parents will be invited to 
demonstrations of learning and student-led conferences in the 
Junior and Middle schools  .
For any questions around communication of student learning, 
please contact the appropriate Assistant Director at each division ."
12,"St. Michaels University SchoolFamily Handbook 2024-25  |  8Learning Resource
At SMUS, if students have been identified as needing additional 
resources, we offer an excellent learning resource program at 
all three campuses  . The learning resource program consists of 
educators – most of whom have master’s degrees specializing 
in Special Education – with specific training in areas of 
remediation, enrichment, collaboration, educational coaching 
and assistive technology  . We work closely with families, 
teachers and directors to provide support for the students in 
our program . We strive to meet the needs of all our learners by 
offering the following:
• programming and accommodations for students with 
Individual Education Plans (IEPs)
• collaboration with teachers in the areas of curriculum, 
assessment, adaptations, differentiation and learning 
strategies
• training in, and access to, assistive technology• an effective balance between remediation and in-class 
assistance (Junior and Middle Schools), with an increased 
focus on compensatory strategies and self-advocacy as 
students progress through the school
• a focus on school-wide outreach, including a wide  
range of Middle and Senior School seminars on  
learning strategies, and supports for learning and 
organizational skills
• close collaboration with teachers, administrators, 
counsellors and psychologists to support students 
with academics, executive functioning, and social and 
emotional well-being
• assistance during key transitions: Junior School to Middle 
School, Middle School to Senior School, and Senior School 
to post-secondary
Social and Emotional Wellness
St . Michaels University School supports the social and emotional 
well-being of students through a variety of programs that 
address harassment, mean behaviour, social cruelty and bullying, 
while promoting ethical behaviour and our school Values of 
respect, courage, honesty and service  . The school’s Social and 
Emotional Development policy can be found on the Links for 
Current Parents section of our website  .
Equity, Diversity and Inclusion
We are committed to establishing a safe, inclusive, and equitable 
learning environment for all members of the community, 
including those who identify as lesbian, gay, bisexual, 
transgender, intersex, queer, two-spirit, and those who may be 
questioning their sexual orientation and/or gender identity  .
St. Michaels University School defines Equity, Diversity and Inclusion 
(EDI) in the broadest sense, including but not limited to sexual 
orientation, gender, gender identity, ability, appearance, ethnicity, 
culture, race, beliefs, and socio-economic background. In addressing 
equity, diversity and inclusion at SMUS, we are guided by our core 
Values: respect, courage, honesty, and service.Chapel
If chapel didn’t exist at the school, we would need to invent 
it . Every community that strives to be intentional in its work 
requires a time and place to gather as a whole  . Especially in the 
context of cultural, economic and geographical diversity, we 
need regular reminders of our common aspirations and foibles, 
along with the Values that hold us together  . Each time we give 
these ideas voice through a wisdom story, a nuanced question 
or a student reflection, we further strengthen our ability to 
discover our individual and collective promise – which is exactly 
what chapel is about .
The program mirrors the students who attend our school, 
some of whom are devout, some of whom identify with faith 
communities but aren’t active, and some of whom are non-
religious  . Our approach does not centre on a single world view 
or tradition . Rather, we base our gatherings on Values that are 
true to the school’s aspirations and upheld within most cultures: 
respect, courage, honesty and service  . While chapel at the Junior 
School is largely driven by staff, more than half of the Senior 
School gatherings are led entirely by students  . Everyone attends 
chapel once a week, with additional gatherings for boarders 
being held twice a month .
Our school overflows with the stuff of life: academic, artistic and 
physical opportunities  . In the midst of all this activity, chapel 
offers an intentional pause, encouraging our community to 
consider what a meaningful life entails  ."
13,"St. Michaels University SchoolFamily Handbook 2024-25  |  9Student Life
Campus Shop
The Campus Shop is located on the ground floor of School 
House and is open every school day during the year and offers 
everything necessary for the school uniform including blazers, 
pants, shirts, kilts, sweaters, fleeces, polos, ties and athletic 
clothing  . Also available are some school supplies, transit bus 
passes, stamps, and a variety of other SMUS-crested gift and 
alumni-related items  . Items can be charged to a student’s 
account or paid for by credit or debit card  .
The Campus Shop has an online store (uniforms  .smus  .ca) 
where you can purchase any uniform items that you need  . Size 
guides are available on the website and families are strongly 
encouraged to use them before choosing sizes while ordering  . 
You will be contacted when your order is ready to be picked up  .
During the school year, orders for Junior School uniforms can be 
placed by phoning the Campus Shop at 250-370-6152, online 
at uniforms  .smus  .ca, or by sending an email to lynne  .franklin@
smus  .ca . Orders will be delivered to the student at the Junior 
School  .
The Campus Shop is open for drop-in shopping from 9 am to 
1 pm and 2 pm to 4 pm every school day  . It is possible to make 
an appointment for in-person consultations and shopping  . To 
schedule an appointment please visit the Campus Shop page 
at smus  .ca/campus-services/campus-shop and use the online 
scheduler  .School Uniform
All school uniform items must be bought from the Campus 
Shop on the Richmond Road campus or through the Parents’ 
Auxiliary used uniform sales  . We expect all students to feel pride 
in being members of St . Michaels University School and to wear 
their uniforms proudly  . Each school section of this handbook 
outlines the specific dress code requirements for students  .
Used Uniform Sales
As a service to all parents and students, the SMUS Parents’ 
Auxiliary offers a used uniform sale at the beginning of the school 
year . Please check the calendar for dates, times and locations  .
The Parents’ Auxiliary also operates a used uniform shop at the 
Derby facility on Shelbourne Street (3410 Shelbourne St .) on 
the first Tuesday of every month when school is in attendance 
(please check the calendar) . Hours are 2-5 pm .
Clothing Labels
It is very important that each clothing item be labelled  . Name 
labels for clothing can be ordered through the Campus Shop  . 
Expect a delivery time of six to eight weeks  . We recommend that 
you order labels in June for the following September to ensure 
they will be ready for pick-up at the start of the school year  .
Name labels for all boarding students are automatically ordered 
and can be sewn on by the school’s seamstress  . Alterations 
can also be arranged with the seamstress through the school 
laundry  . For the correct sizing of uniforms, please bring your 
child into the shop for fitting  .Personal Counselling Program
Our team of highly trained and certified school counsellors 
is available to provide confidential counselling to individual 
students and in small groups  . Counsellors make presentations 
in classrooms, participate in grade programs, and co-teach 
with teachers to deliver curricular competencies in social-
emotional learning  .
Personal counsellors help students develop skills and strategies 
to deal effectively with challenges that interfere with their 
achievement and well-being  . Examples of issues addressed by 
counsellors include problem solving, conflict resolution, stress 
management, anxiety and maintaining life balance  .
When appropriate, counsellors also consult with faculty, 
parents and medical staff  . If more extensive therapeutic 
intervention is required, referrals are made to certified 
professionals in the community  . 
Please don’t hesitate to contact the counsellors at the Junior, 
Middle or Senior Schools  .Contact information
Senior School:
Carole McMillan, Director of Personal Counselling (K-12)
250-213-6524 or carole  .mcmillan@smus  .ca 
Lauren Mavrikos lauren .mavrikos@smus  .ca 
Chris Webster chris  .webster@smus  .ca 
Theresa Jackson theresa .jackson@smus  .ca
Middle School:
Allison Peace allison .peace@smus  .ca 
Gabrielle Emmet gabrielle  .emmet@smus  .ca
Junior School:
Marnie Caron marnie  .caron@smus  .ca"
14,"St. Michaels University SchoolFamily Handbook 2024-25  |  10Lost, Misplaced and Stolen Items
Students are expected to lock all belongings in lockers or their 
boarding rooms  . The school will not be held responsible for 
items that go missing  . There are lost and found locations at each 
campus  . Small, valuable items (watches, cellphones, glasses, etc  .) 
are held in the school office  . All other found items are sent to 
the lost and found bins  .
These lost and found bins are emptied periodically, and the 
contents are donated  . Students are notified in advance of this 
process  . SMUS will not be responsible for lost or stolen items  .
Lunches and Snacks
To encourage good nutrition, we ask that your child’s lunch 
include healthy foods instead of junk foods, pop or candy  . A 
high-energy snack such as fruit may be brought from home to 
be eaten at recess  . Lunches should be sent to school in reusable 
containers  . We encourage that garbage be kept to a minimum .
Junior School students eat their lunches in their homeroom 
class, where they are supervised by a teacher  .
At the Richmond Road campus, students have access to Graves 
Hall and The Howard Café  . At the Middle School, students 
should eat their snacks outside during morning recess and 
dispose of their garbage in the containers around the school  .
At lunch time, students can either bring food and eat in Graves 
Hall or the student commons where microwaves are available, or 
they may use their student card to charge meals to their student 
account . Please determine with your child how often they have 
permission to charge lunch .
The Parents’ Auxiliary also organizes Pizza Days during the year  . 
Parents will receive an email at the start of each term about this 
program .
Responsible Network Use
SMUS is pleased to offer access to its network facilities to all 
students  . Access to the internet and email is a privilege and, 
because we have a limited number of network resources, we 
have implemented responsibilities and policies  . All students 
are expected to respect and sign the rules included in our 
Technology Use Policy Agreement .Social Media Code of Conduct
All students are expected to follow these personal statements 
related to social media conduct:
Privacy and Security:
• I will keep my password private  .
• I will protect my personal information, such as my name, 
address, and telephone number  .
• I will inform my teacher right away if I come across any 
information that makes me feel uncomfortable  .
• I will report any messages sent directly to me that are 
mean or make me feel uncomfortable  .
Responsible Posting:
• I will always post to social media sites using my own 
account – I will not impersonate a friend or peer  .
• I will use appropriate language  .
• I will post appropriate content that reflects well upon 
myself and the school  .
• I understand that I am accountable for my postings and 
electronic communications  .
• I will respect copyright laws  .
Prohibited Content and Behaviour:
• I will avoid discussions involving hateful, racially offensive, 
or obscene topics or images  .
• I will not engage in cyberbullying or harassment of any 
kind, including but not limited to posting or sharing 
derogatory, offensive, or harmful content about others  .
• I will not post or share any content that promotes violence, 
discrimination, illegal activities, or unethical behaviour  .
• I will not disclose any confidential or sensitive information 
about the school, its staff, or fellow students on social 
media without proper authorization .
• I will not use social media to spread false information, 
rumours, or gossip that may harm the reputation of the 
school or its community members  .
• I will not engage in any activities on social media that 
may compromise the privacy, security, or integrity of the 
school’s network or systems  .
• I will not engage in any activities on social media that 
violate any local, provincial, or federal laws, including but 
not limited to cyberstalking, cyberbullying, or identity 
theft .
Responsible Social Media Use:
• I will not use social media during class hours or in a way 
that disrupts my studies or the learning environment of 
others  .
• I will not use social media to engage in excessive or 
addictive behaviours that interfere with my academic or 
personal responsibilities  ."
15,"St. Michaels University SchoolFamily Handbook 2024-25  |  11Parent Involvement
Parent involvement is an important part of our success as a 
school, and we hope that you will continue to invest in your 
child’s education through volunteer and fundraising activities  . 
We hope your connection to SMUS will last a lifetime, so please 
contact us if you have any questions or issues  .
Volunteering and Fundraising
SMUS Parents’ Auxiliary
Parents Working Together to Support Excellence in Education
The SMUS Parents’ Auxiliary (PA) is a volunteer organization 
dedicated to supporting and enhancing SMUS and its 
community  . An independent non-profit society and registered 
charity, the PA is governed by an elected executive, with 
membership comprising all SMUS parents and caregivers  . The PA 
president sits as a representative on the SMUS Board of Governors  .
The PA is an integral part of SMUS . It organizes events and 
raises funds for the school  . A formal allocations process is used 
to decide which annual projects are funded  . Other activities 
include used uniform sales, Halloween campus fireworks, parent 
education events, weekly pizza lunches, birthday cakes for 
boarders service, the Boarders Without Borders dinner, teacher 
appreciation lunches, PA scholarship fund, Quiz Night, coffee 
mornings, parent socials and more  .
The 2023-24 executive includes: 
John MacKay, President
John Ellis, 1st Vice President
Gabrielle Howard, 2nd Vice President
Christina Kay, Secretary
Cindy Wan, Treasurer
All interested parents are welcome to attend PA meetings 
throughout the school year  . Watch for the emailed newsletter for details on events, volunteer opportunities, and other important 
news  . Volunteers are always welcome! For more information, 
visit smus  .ca/community/pa or email paraux@smus  .ca .
Annual Fund
Gifts to the Annual Fund are used for immediate needs in 
and out of the classrooms that directly benefit all students  . 
St . Michaels University School is recognized nationally and 
internationally for the quality of our academic program, but 
tuition alone does not cover the total cost of educating each 
student . We rely on the generosity of our school community, 
who each year raises more than $1 million in support of student 
financial aid and bursaries and a wide variety of programs that 
enrich students’ educational experience  . 
The philanthropic support from our families is critical to the 
success of all students at SMUS . As a parent and member of 
our school community, you will be invited to contribute to our 
annual fundraising goals  . Remember, every donation matters, 
and no gift is too small! 
Volunteering your time is another way to be involved with the 
Annual Fund  . We will be looking for Parent Representatives from 
each class, please reach out to the Advancement Office if this 
opportunity is something you would like to help with . 
To make your family’s annual donation today, visit  
smus  .ca/support/annual-fund  .
To volunteer or discuss any of our priority projects, contact our 
Annual Fund Manager Joanna Verano, at joanna .verano@smus  .ca . 
To learn more about Campus Masterplan and Capital 
Fundraising, please contact Shara Campsall, Director of 
Advancement, at shara .campsall@smus  .ca .SMUS Camps’ mission is to support the school in fulfilling its 
mission of providing outstanding preparation for life with an 
array of courses and programs for all students, including those 
outside the SMUS community  . These include day camps in 
winter, spring and summer, and overnight camps in summer 
for students to develop new skills, meet new friends and have 
fun . Registration dates for winter, spring and summer programs, 
as well as descriptions of camps, is shared in the SMUS Weekly 
throughout the school year  .
Our hands-on, skill-based programs offer learners the 
opportunity to Learn, Discover, and Create in a safe, engaging 
and fun environment .SMUS Camps delivers a variety of  exceptional overnight 
summer camps for students ages 13-17 such as leadership, 
engineering, game development, basketball, squash, rugby  
and volleyball  .
SMUS Camps is known for consistently delivering high-
quality programming in a safe, nurturing environment where 
campers can be themselves  . At the core of every program is the 
emotional, mental and physical safety of our campers  .
For information about these programs, please visit 
smus  .ca/camps  .Winter, Spring and Summer Camps"
16,"St. Michaels University SchoolFamily Handbook 2024-25  |  12St. Michaels University School Society
Our school is owned by the St . Michaels School Society, 
operating within the Societies Act of British Columbia, and is 
governed by a Board comprising 14 governors, 12 of which 
are elected by members of the Society, as well as an elected 
faculty representative and the presidents of the SMUS Alumni 
Association and the Parents’ Auxiliary  .
All current parents are eligible to become members of the SMUS 
Society  . To register for membership, visit smus  .ca/discover/
governance-and-community/smus-society/membership  . For information about the Board, visit smus  .ca/discover/
governance-and-community/board-of-governors  . Here you will 
find contact information for the Board Chair, profiles of Board 
members, a list of Board committees and their membership, 
the nominations process, and recent communications from the 
Board ."
17,"St. Michaels University SchoolFamily Handbook 2024-25  |  13Junior School Information
820 Victoria Avenue, Victoria, BC, V8S 4N3
Phone: 250-598-3922, Fax: 250-592-0783
Becky Anderson, Director of Junior School
Nicole Tripp, Assistant Director of Junior School
Delina Squire, Assistant to the Director of Junior School
A strong start to school sets an ideal foundation for the future 
at SMUS and beyond  . Our focus on an intentional, rigorous and 
engaging curriculum, an inquiry-based approach to learning, 
and an ideal environment encourages children to learn, grow 
and thrive in a joyful setting  .
We have been inspired by the key principles of the Reggio 
Emilia approach: seeing each child as capable and full of 
ideas, recognizing the importance of partnering with parents/
guardians, and creating inspiring environments for learning, in 
and out of the classroom .
Academic Information
The Junior School provides a program that includes  
homeroom teachers who teach the core subjects  . Specialist 
teachers provide instruction in other areas of learning  .
Drop-Off, Dismissal and Pick-Up
We ask that all parents/guardians read the section titled 
“Respecting Our Neighbours” on page 6 of this handbook, 
as the Junior School drop-off and pick-up area is on a road in a 
residential neighbourhood  .
At morning drop-off and afternoon pick-up times, duty teachers 
supervise this process to ensure student safety  . Families can 
park and walk with their children onto campus, or older children 
can come onto campus independently  . If there is space in the 
“loading zone” in front of the school, parents can drop off their 
child (Kindergarten to Grade 5) . If you are using the loading zone 
between 8:00 - 8:30 or after school, do not leave your vehicle 
unattended and follow the rules of the road  .
All children traveling to and from school should use the 
crosswalk in front of the Junior School  . Due to safety concerns, 
children and parents/guardians are asked to not cross the street 
in other areas  .
Morning Routine
• All Kindergarten to Grade 5 children are expected to arrive 
at school in time for the 8:15 bell  . Junior Kindergarten 
children arrive by 9:00 . This allows us to start our day 
peacefully together without interruptions  .
• All Kindergarten to Grade 5 children enter the school 
through the side gate anytime between 8:00 and 8:15 .  
A duty teacher is outside before school and children are 
supervised  . The school day begins at 8:20 so we expect all 
children to arrive by 8:15 .
• Junior Kindergarten children arrive through the front door 
between 8:15 and 9:00 .  After-School Routine
• Classes are dismissed at 3:10 pm .
• At dismissal time, parents/guardians come onto campus 
through the side gate  .
• Students must exit through the side gate with their parent/
guardian so that they are seen by the gate duty teacher  .
• Children are not able to leave the school with anyone 
other than a person authorized by the family
• Children should be picked up between 3:10 pm and 3:20 pm .
• A bell sounds at 3:20 pm when the bus arrives  .
• Students are not permitted to exit through the front doors 
except when they are signing out during the school day or 
if they are leaving school after the gates have been locked  .
• Families are encouraged to make their after-school 
arrangements (sports, clubs, play dates, etc  .) in advance, as 
students may only use the phone during the school day if 
an urgent issue arises  .
Transportation
• Students who travel to school by the SMUS bus are given 
a student card that the bus driver scans each time the 
student boards the bus  . Cards can also be used in the 
Campus Shop  . For complete details regarding buses, 
please visit smus  .ca/campus-services/bus-transportation .
Parent/Guardian Pick-Up
• Students must tell their teacher each morning how they will be 
getting home that afternoon: taking the bus, or in the regular 
pick-up lane, or attending the After-School Care Program . It is 
important that the after-school plan is communicated to the 
teacher at the beginning of the day because it is sent with 
the attendance form and recorded in the school office  .
After-School Routine – Junior Kindergarten
• A parent or designated adult must come to the classroom to 
pick up their Junior Kindergarten child between 2:00 - 3:00 .  
Children are not able to leave the school with anyone, other 
than a person authorized by the family on the forms  .
After-School Program
The After-School Care Program is a welcoming, diverse and 
inclusive drop-in program that offers care to Kindergarten to 
Grade 5 students between 3:15 and 5:30 pm . SMUS is committed 
to ensuring all Health Authority Licensing requirements are 
followed, including child ratios  . All facilities used are licensed by 
Island Health and inspected by the health authority’s licensing 
officer on a regular basis  . Parents/guardians can contact the Junior 
School office when their child needs After-School Care services  .
Junior School Information
The Junior School information package is available on the SMUS 
Website on the Current Parents page  ."
18,"St. Michaels University SchoolFamily Handbook 2024-25  |  14Absences and Lateness
We expect all students arrive by 8:15 . If a student arrives late, 
they must report to the school office or use the sign-in/sign-out 
sheet located there  .
Parents/guardians are asked to phone 250-598-3922 or email  
christine  .shewchuk@smus  .ca before 8 am if your child is  
going to be late or absent on a school day  . If students are  
late, you must sign your child in at the office on arrival  .
Parent/Guardian Visitors and Student 
Sign-In/Sign-Out
All parents/guardians visiting the school during the school day 
are asked to sign in at the office for security purposes  . If your 
child arrives late or is picked up early for an appointment, you 
must sign them in or out in the binder at the office door  .
Parents/Guardians as Partners
Parents/guardians play an important role at our school, 
especially in the Junior School, as you are viewed as partners 
in your child’s educational journey  . You are invited to attend 
regularly scheduled meetings such as the Curriculum Evening 
and Parent/Guardian-Teacher Conferences  . You are also invited 
to attend Monday morning chapel, be present at special events 
during the year, and volunteer in the Junior School community  . 
We encourage you to communicate regularly with your child’s 
teacher  . You are most welcome in the Junior School  .
Adult Volunteers
The Junior School environment is enriched by the many 
parents/guardians who share their time and talents  . Many 
opportunities are available for you to become involved at the 
Junior School on a formal or informal basis  . Working in the 
Library Learning Commons, accompanying classes on trips, 
giving career talks, and serving as a grade representative or on 
the welcome committee are some of the ways in which you can 
contribute to the school and gain satisfaction and enjoyment 
from working with the children .
Requests for Additional Leave From School
The school’s school dates are published in advance and it 
is our expectation that families book travel during school 
holidays to limit disruption to learning and school life  . If an 
extended absence from school is required, a request should be 
made to the Director of the Junior School in advance  . School 
work will not be provided for students to do while absent, as 
curriculum is taught in an immersive way with instruction, 
class engagement and process time  . Teachers may have 
suggestions for independent learning while the child is away 
but this will not be assessed  .First Aid Room
The Junior School has a small, basic supply of first-aid products, 
sufficient to take care of minor scrapes, cuts, aches and pains  . 
Medication is administered with written permission only  . If 
children do not feel well during the school day, they can rest in 
the first aid room, and we will call you to come pick up your child  .
Allergy Aware School
There are many students with severe allergies and therefore 
the Junior School provides an allergy aware environment for 
students with life-threatening allergies  . Specific information will 
be communicated as needed to ensure the safety of all students  .
Cellphones
Students at the Junior School are not permitted to carry  
cellphones or wear smartwatches  .
Communication of Student Learning
Effective communication between home and school is essential 
for student success  . We provide and maintain ongoing, regular 
communication about your child’s progress  . In order to do 
this most effectively, we have scheduled numerous meetings, 
reports and other communications with parents/guardians 
through the school year  . In addition, teachers are available to 
meet with parents/guardians at any time  .
September: Junior School Curriculum Evening
October: Personal communication for new students
November: Parent/Guardian-Teacher Conferences
December: Formal written report
February: Ongoing sharing of Learning
March: Parent/Guardian-Teacher Conferences
May:  Student Demonstrations of Learning
June: Formal written report"
19,"St. Michaels University SchoolFamily Handbook 2024-25  |  15Student Agendas
All students in Grades 1-5 are given a student agenda for use 
throughout the school year  . The agenda is to go between home 
and school and is a useful tool for helping students with their 
homework organization and communication . Parents/guardians 
are encouraged to check this agenda regularly for notes from 
school  .
Home Learning Policy
The Junior School teachers promote the practice of a reasonable 
amount of daily home learning on Monday to Thursday 
evenings  . Home learning will not be assigned on the weekend 
or during school holidays  . Children are encouraged to read, 
practise their instruments, and complete some type of other 
homework as assigned by teacher  . As a general guideline, 
children receive 10 minutes of homework per grade (for 
example, Grade 2 students would have about 20 minutes 
of learning that includes reading and another task) . Junior 
School teachers believe that family time in the evenings and 
on weekends is a priority  . A good balance of work and play is 
always encouraged  .Extracurricular Clubs, Activities and Sports
A variety of clubs, activities, and sports is offered throughout the 
year on a term by term basis  . The office sends out information 
regarding what is being offered and how to sign up at the 
beginning of each term . More information on extracurricular 
offerings is available on the school’s website  ."
20,"St. Michaels University SchoolFamily Handbook 2024-25  |  16Number One Uniform
(worn Mondays and at SMUS special events)Number Two Uniform
Kindergarten Red crested polo shirt
Navy crested cardigan or sweater
Choice of:
• Tartan tunic (black bike shorts underneath)
• Grey pants
Choice of:
• Navy knee socks or tights with tunic
• Grey socks with pants
Plain black dress shoes (buckle or Velcro)Red crested polo shirt
Navy crested cardigan or sweater or vest
Choice of:
• Tartan tunic (black bike shorts underneath)
• Grey pants
• Grey shorts
• Navy culottes
Choice of:
• Navy knee socks or tights with tunic
• Grey knee socks (with shorts only) or grey dress 
socks (with long pants only)
• White ankle socks with culottes only
Plain black dress shoes (buckle or Velcro)
Grades 1-4 White crested dress shirt
Junior School tie
Navy crested cardigan or sweater
Choice of:
• Tartan tunic (black bike shorts underneath) –  
K-3 only
• Kilt (with pin and black bike shorts underneath) – 
Grade 4 only
• Grey pants
Choice of:
• Navy knee socks or tights with tunic
• Grey socks with pants
Plain black dress shoesWhite crested polo shirt
Navy crested cardigan, sweater, or vest
Choice of:
• Tartan tunic (black bike shorts underneath) –  
K-3 only
• Kilt (with pin and black bike shorts underneath) – 
Grade 4 only
• Grey pants
• Grey shorts
• Navy culottes
Choice of:
• Navy knee socks or tights with tunic
• Grey knee socks (with shorts only) or grey dress 
socks (with long pants only)
• White ankle socks with culottes only
Plain black dress shoesDress Code for Junior School Students
Junior School Uniform
Students wear school uniforms every day  . The Number One dress uniform is required on Mondays, for special events, and when 
students are representing the school  .
We expect students to respect themselves and be proud of their school  . This respect and pride should be reflected in their general 
appearance  . We encourage all students to feel pride in being members of St . Michaels University School and wear their uniforms 
proudly  .
The table below refers to “crested” items, which means the SMUS logo or name  ."
